Overall (21/02/2021)  67619/70569  (Translation 98%)
  3902_2:             27/27          (Translation 100%)(H-scene)(TLCd)
  3902_3:             0/215          (Translation 0%)  (H-scene)
  3903:               456/456        (Translation 100%)         (TLCd)
  3904:               203/203        (Translation 100%)         (TLCd)
  3904_2:             0/237          (Translation 0%)  (H-scene)
  3905:               547/547        (Translation 100%)         (TLCd)
  3906:               458/458        (Translation 100%)         (TLCd)
  3906_2:             0/152          (Translation 0%)  (H-scene)
  3907:               792/792        (Translation 100%)         (TLCd)
  3907_2:             0/255          (Translation 0%)  (H-scene)
  3907_3:             0/42           (Translation 0%)  (H-scene)
  3908:               797/797        (Translation 100%)         (TLCd)
  3909:               192/192        (Translation 100%)         (TLCd)
